acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
0.00235,0.564,0.981,0.174,F#,0.541,-3.919,major,0.0769,100.124,4,0.0866,False
0.064,0.499,0.994,0.0232,C,0.328,-1.174,major,0.132,182.948,4,0.394,False
0.000529,0.444,0.972,0.0138,G,0.476,-2.746,major,0.218,150.034,4,0.207,False
0.000028,0.511,0.948,0.000003,E,0.792,-1.884,minor,0.0476,102.494,4,0.0397,False
0.0888,0.616,0.991,0.149,G,0.24,-1,major,0.367,199.954,4,0.325,False
0.00135,0.429,0.983,0.858,F,0.129,-1.962,major,0.125,149.964,4,0.478,False
0.0383,0.648,0.993,0.00156,E,0.183,1.611,minor,0.158,109.937,4,0.222,False
0.00124,0.488,0.999,0.346,E,0.783,0.13,minor,0.149,100.014,4,0.126,False
0.158,0.645,0.994,0.000001,G,0.301,-1.193,major,0.23,95.016,4,0.143,False
0.0268,0.631,0.965,0.000179,G#,0.312,-2.726,major,0.201,105.019,4,0.183,False
0.0978,0.54,0.983,0,D,0.26,-1.155,major,0.0934,99.988,4,0.1,False
0.0178,0.577,0.989,0.0073,D,0.302,-1.816,major,0.15,99.965,4,0.364,False
0.114,0.618,0.994,0.000003,G,0.275,0.217,major,0.479,179.939,4,0.0715,False
0.0046,0.54,0.949,0.000037,F#,0.215,-2.579,major,0.156,100.07,4,0.459,False
0.00111,0.322,0.923,0.00895,C#,0.18,-0.614,major,0.113,117.01,4,0.295,False
0.0368,0.574,0.974,0.0124,C#,0.0698,-2.325,major,0.275,184.939,4,0.182,False
